Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed,Birthplace,HomeTown,HighSchool,College,Past Pro,Past Pro 2,Twitter_id,Twitter_username,Twitter_followers,Twitter_friends,birthPlace,birthPlace_url,weight,nationality,dob,college,weeki_comment,high_school,height
519,"Aaron Craft","GSW","$35000","","","","","","","$35000","","","","","","","","","","","NULL","NULL",88452,"NULL","1991-02-12","Ohio State Buckeyes men's basketball","Aaron Craft (born February 12 1991) is a basketball player who completed his collegiate career for the Ohio State Buckeyes. Craft attended Liberty-Benton High School near Findlay Ohio. He was named to the 2010 First Team All-State Team in Ohio's Division III and was the 2010 Division III Player of the Year in Ohio.","NULL",1.8796
181,"Aaron Gordon","ORL","$3992040","$4171680","$4351320","$5504420","","","1st Round Pick","$8163720","","","","","","","","","","","San Jose California","http://dbpedia.org/resource/San_Jose,_California",102060,"NULL","1995-09-16","Arizona Wildcats men's basketball","Aaron Gordon (born September 16 1995) is an American college basketball player for the Arizona Wildcats of the Pacific-12 Conference (Pac-12). A native of San Jose California he is a freshman for the 2013–14 team. He won two state championships in basketball in high school and was California's Mr. Basketball twice.","NULL",2.0574
348,"Aaron Gray","DET","$1227985","$1356146","","","","","","$1227985","","","","","","","","AaronGray_34","3419 followers ","","Tarzana Los Angeles","http://dbpedia.org/resource/Tarzana,_Los_Angeles",122472,"NULL","1984-12-07","Pittsburgh Panthers men's basketball","Aaron Michael Gray (born December 7 1984) is an American professional basketball player who currently plays for the Sacramento Kings of the NBA.","NULL",2.1336
295,"Adreian Payne","ATL","$1855320","$1938840","$2022240","$3100094","","","1st Round Pick","$3794160","","","","","","","","","","","Dayton Ohio","http://dbpedia.org/resource/Dayton,_Ohio",111132,"NULL","1991-02-19","Michigan State Spartans men's basketball","Adreian Payne (born February 19 1991) is an American college basketball player for Michigan State where he is a senior on the 2013–14 team.","NULL",2.0828
188,"Al Harrington","ORL","$3805000","","","","","","","$3805000","","","","","","","","cheddahcheese7","26321 followers ","","Orange New Jersey","http://dbpedia.org/resource/Orange,_New_Jersey",111132,"NULL","1980-02-17","NULL","Albert Al Harrington (born February 17 1980) is an American professional basketball player who currently plays for the Washington Wizards of the National Basketball Association (NBA).Harrington is a cousin of NBA player Dahntay Jones.","NULL",2.0574
48,"Al Horford","ATL","$12000000","$12000000","","","","","Bird Rights","$24000000","","","","","","","","Al_Horford","180330 followers ","","{Dominican Republic|Puerto Plata (city)}","{http://dbpedia.org/resource/Dominican_Republic|http://dbpedia.org/resource/Puerto_Plata_(city)}",113400,"NULL","1986-06-03","Florida Gators men's basketball","Alfred Joel Horford Reynoso (born June 3 1986) is a Dominican professional basketball player who currently plays for the Atlanta Hawks of the National Basketball Association (NBA). Horford played college basketball for the University of Florida and was the starting center on the Florida Gators teams that won back-to-back NCAA national championships in 2006 and 2007. He also plays for the Dominican Republic national team.","NULL",2.0828
33,"Al Jefferson","CHO","$13666667","$13833333","","","","","Cap Space","$13666667","","","","","","","","","","","Monticello Mississippi","http://dbpedia.org/resource/Monticello,_Mississippi",131090,"NULL","1985-01-04","NULL","Albus Ricardo Al Jefferson (born January 4 1985) is an American professional basketball player who currently plays for the Charlotte Bobcats of the National Basketball Association (NBA).","NULL",2.0828
367,"Al-Farouq Aminu","DAL","$1100602","","","","","","Minimum Salary","$981084","","","","","","","","farouq1","62213 followers ","","Atlanta","http://dbpedia.org/resource/Atlanta",97524,"NULL","1990-09-21","Wake Forest Demon Deacons men's basketball","Al-Farouq Ajiede Aminu (born September 21 1990) is a Nigerian-American professional basketball player who currently plays for the New Orleans Pelicans of the NBA. He has also played for the Nigeria men’s national basketball team. His parents are Aboubakar Aminu and Anjirlic Aminu and he is a descendant from a line of Nigerian kings. His brother is former Georgia Tech forward Alade Aminu. Aminu was selected by the Los Angeles Clippers in the 2010 NBA Draft with the 8th overall pick.","Norcross High School",2.0574
224,"Alec Burks","UTA","$3034356","$9213484","$9904495","$10595506","$11286515","","1st Round Pick","$44034356","","","","","","","","AlecBurks10","32819 followers ","","Grandview Missouri","http://dbpedia.org/resource/Grandview,_Missouri",95709.60000000001,"NULL","1991-07-20","Colorado Buffaloes men's basketball","Alec Burks (born July 20 1991) is an American professional basketball player who currently plays for the Utah Jazz of the National Basketball Association (NBA). He played college basketball at the University of Colorado at Boulder.","NULL",1.9812
506,"Alex Kirk","NYK","$65000","","","","","","","$65000","","","","","","","","","","","Los Alamos New Mexico","http://dbpedia.org/resource/Los_Alamos,_New_Mexico",112493,"NULL","1991-11-14","New Mexico Lobos men's basketball","Alex Ryan Kirk (born November 14 1991) is an American basketball player. He recently completed his college career at the University of New Mexico declaring his eligibility for the 2014 NBA draft.Kirk a 7'0 center played at Los Alamos High School in Los Alamos New Mexico. He came to New Mexico in 2010 averaging 4.7 points and 3.7 rebounds per game in the 2010–11 season. In the offseason Kirk underwent back surgery for a herniated disc and subsequently redshirted the 2011–12 season.","NULL",2.1844
195,"Alex Len","PHO","$3649920","$3807120","$4823621","","","","1st Round Pick","$7457040","","","","","","","","alexlen","12592 followers ","","{Luhansk Oblast|Ukraine|Antratsyt}","{http://dbpedia.org/resource/Luhansk_Oblast|http://dbpedia.org/resource/Ukraine|http://dbpedia.org/resource/Antratsyt}",115668,"Ukraine","1993-06-16","Maryland Terrapins men's basketball","Oleksiy Alex Len (Ukrainian: Олексій Лень; born June 16 1993) is a Ukrainian professional basketball player who currently plays for the Phoenix Suns of the National Basketball Association (NBA). Before being drafted he played two seasons for the Maryland Terrapins of the Atlantic Coast Conference as well as a season with BC Dnipro Dnipropetrovsk in his home nation's professional basketball league.","NULL",2.159
210,"Alexey Shved","HOU","$3282056","","","","","","Cap Space","$3282056","","","","","","","","","","","{Belgorod|Russian Soviet Federative Socialist Republic}","{http://dbpedia.org/resource/Belgorod|http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic}",84823.2,"Russian language","1988-12-16","NULL","Alexey Viktorovich Shved (Russian: Алексей Викторович Швед alternate spelling: Aleksey Shved; born December 16 1988) is a Russian professional basketball player who currently plays for the Minnesota Timberwolves of the National Basketball Association (NBA).","NULL",1.9812
422,"Allen Crabbe","POR","$862000","$947276","","","","","Cap Space","$862000","","","","","","","","allencrabbe","9966 followers ","","{Los Angeles|California Golden Bears men's basketball}","{http://dbpedia.org/resource/Los_Angeles|http://dbpedia.org/resource/California_Golden_Bears_men's_basketball}",89359.2,"NULL","1992-04-09","California Golden Bears men's basketball","Allen Lester Crabbe III (born April 9 1992) is an American professional basketball player who currently plays for the Portland Trail Blazers of the National Basketball Association (NBA). He played college basketball at the University of California Berkeley where he was named an All-American.","NULL",1.9812
409,"Alonzo Gee","DEN","$1063384","","","","","","Minimum Salary","","","","","","","","","GeeAlonzo","29614 followers ","","Riviera Beach Florida","http://dbpedia.org/resource/Riviera_Beach,_Florida",102060,"NULL","1987-05-29","Alabama Crimson Tide men's basketball","Alonzo Gee (born May 29 1987) is an American professional basketball player who currently plays for the Cleveland Cavaliers of the NBA.","NULL",1.9812
2,"Amar'e Stoudemire","NYK","$23410988","","","","","","Bird Rights","$23410988","","","","","","","","Amareisreal","1048076 followers ","","Lake Wales Florida","http://dbpedia.org/resource/Lake_Wales,_Florida",111132,"NULL","1982-11-16","NULL","Amar'e Carsares Stoudemire (/əˈmɑreɪ ˈstɒdəmaɪər/; born November 16 1982) is an American professional basketball player for the New York Knicks of the National Basketball Association (NBA).Stoudemire played high school basketball for five different schools ultimately graduating from Cypress Creek High School in Orlando Florida and declaring for the NBA draft as a prep-to-pro player. He won several prep honors including being selected as Florida's Mr. Basketball.","NULL",2.1082
102,"Amir Johnson","TOR","$7000000","","","","","","Bird Rights","$5000000","","","","","","","","IamAmirJohnson","133226 followers ","","{California|Los Angeles}","{http://dbpedia.org/resource/California|http://dbpedia.org/resource/Los_Angeles}",95256,"NULL","1987-05-01","NULL","Amir Jalla Johnson (born May 1 1987) is an American professional basketball player who currently plays for the Toronto Raptors of the National Basketball Association (NBA).","NULL",2.0574
