City,State Abr,Zip Code,Longitude,DMA Region,State,Latitude
"Aaronsburg","PA",16820,-77.42424,574,"Pennsylvania",40.908997
"Abac","GA",31794,-83.51083,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC","Georgia",31.459666
"Abbeville","AL",36310,-85.2094,606,"Alabama",31.599256
"Abbeville","GA",31001,-83.33082,503,"Georgia",31.972626
"Abbeville","MS",38601,-89.47412,"","Mississippi",34.489297
"Abbeville","SC",29620,-82.41245000000001,567,"South Carolina",34.189812
"Abbot Village","ME",4406,-69.49039,"","Maine",45.221933
"Abbotsford","WI",54405,-90.30486000000001,705,"Wisconsin",44.950905
"Abbott Park","IL",60064,-87.85202,"","Illinois",42.326072
"Abbott","TX",76621,-97.08385,"","Texas",31.884263
"Abbottstown","PA",17301,-76.98359000000001,"","Pennsylvania",39.891548
"Abbyville","KS",67510,-98.22479,"","Kansas",37.992099
"Abell","MD",20606,-76.73974,"","Maryland",38.250996
"Abercrombie","ND",58001,-96.73165,724,"North Dakota",46.448462
"Aberdeen Proving","MD",21005,-76.14082999999999,"","Maryland",39.473451
"Aberdeen","MD",21001,-76.18066,512,"Maryland",39.508177
"Aberdeen","MS",39730,-88.55463,673,"Mississippi",33.833689
"Aberdeen","NC",28315,-79.4415,560,"North Carolina",35.12416
"Aberdeen","OH",45101,-83.75693,"","Ohio",38.671655
"Aberdeen","SD",57401,-98.49646,725,"South Dakota",45.46932
"Aberdeen","WA",98520,-123.81923,819,"Washington",46.972965
"Abernathy","TX",79311,-101.88156,651,"Texas",33.857895
"Abie","NE",68001,-96.94965000000001,"","Nebraska",41.334744
"Abilene","KS",67410,-97.21973,678,"Kansas",38.94112
"Abilene","TX",79601,-99.69803,662,"Texas",32.500532
"Abilene","TX",79602,-99.72107,"","Texas",32.40769
"Abilene","TX",79603,-99.76927000000001,"","Texas",32.466724
"Abilene","TX",79605,-99.77096,"","Texas",32.432975
"Abilene","TX",79606,-99.79886,"","Texas",32.360362
"Abingdon","IL",61410,-90.39766,682,"Illinois",40.802633
"Abingdon","MD",21009,-76.2983,512,"Maryland",39.473899
"Abingdon","VA",24210,-82.00845,531,"Virginia",36.728639
"Abingdon","VA",24211,-81.96207,"","Virginia",36.657812
"Abington","MA",2351,-70.94786999999999,506,"Massachusetts",42.119534
"Abiquiu","NM",87510,-106.40596,"","New Mexico",36.2996
"Abita Springs","LA",70420,-90.00103,"","Louisiana",30.482725
"Abraham","WV",25918,-81.00561,"","West Virginia",37.712469
"Abrams","WI",54101,-88.04535,658,"Wisconsin",44.788898
"Absarokee","MT",59001,-109.48875,756,"Montana",45.522248
"Academy","SD",57369,-98.89387000000001,"","South Dakota",43.435193
"Acampo","CA",95220,-121.23505,"","California",38.200193
"Accident","MD",21520,-79.31377000000001,"","Maryland",39.629925
"Accokeek","MD",20607,-77.01806999999999,511,"Maryland",38.672216
"Accomac","VA",23301,-75.67108,544,"Virginia",37.713561
"Accord","NY",12404,-74.23471000000001,501,"New York",41.811322
"Accoville","WV",25606,-81.82026999999999,"","West Virginia",37.75979
"Ace","TX",77326,-94.81869,"","Texas",30.519883
"Acequia","ID",83350,-113.62976,"","Idaho",42.671054
"Achille","OK",74720,-96.39018,"","Oklahoma",33.83464
"Achilles","VA",23001,-76.41057000000001,"","Virginia",37.293165
"Ackerly","TX",79713,-101.73528,"","Texas",32.520297
"Ackerman","MS",39735,-89.17616,673,"Mississippi",33.371974
"Ackley","IA",50601,-93.04953999999999,679,"Iowa",42.563333
"Ackworth","IA",50001,-93.41494,"","Iowa",41.363615
"Acme","LA",71316,-91.77030999999999,"","Louisiana",31.252471
"Acme","PA",15610,-79.42425,508,"Pennsylvania",40.138405
"Acme","WA",98220,-122.1977,819,"Washington",48.681582
"Acme","WY",82839,-107.14202,"","Wyoming",44.889239
"Acosta","PA",15520,-79.06771999999999,"","Pennsylvania",40.112153
"Acra","NY",12405,-74.07288,"","New York",42.320081
"Acton","CA",93510,-118.18951,803,"California",34.497245
"Acton","IN",46259,-85.98072999999999,"","Indiana",39.651145
"Acton","ME",4001,-70.93189,500,"Maine",43.548123
"Acton","MA",1720,-71.4422,506,"Massachusetts",42.477142
"Acton","MT",59002,-108.68933,"","Montana",45.932174
"Acushnet","MA",2743,-70.91019,521,"Massachusetts",41.697015
"Acworth","GA",30101,-84.68483000000001,524,"Georgia",34.052285
"Acworth","GA",30102,-84.6183,"","Georgia",34.097998
"Acworth","NH",3601,-72.30269,"","New Hampshire",43.242719
"Ada","MI",49301,-85.47798,"","Michigan",42.97252
"Ada","OH",45810,-83.81820999999999,535,"Ohio",40.774039
"Ada","OK",74820,-96.68761000000001,657,"Oklahoma",34.780243
"Adah","PA",15410,-79.90832,"","Pennsylvania",39.918848
"Adair","IL",61411,-90.50153,"","Illinois",40.401282
"Adair","IA",50002,-94.64805,679,"Iowa",41.507565
"Adair","OK",74330,-95.25512000000001,671,"Oklahoma",36.434328
"Adairsville","GA",30103,-84.92452,524,"Georgia",34.368647
"Adairville","KY",42202,-86.85365,"","Kentucky",36.681441
"Adak","AK",99546,-176.63675,"","Alaska",51.87957
"Adamant","VT",5640,-72.49053000000001,"","Vermont",44.354296
"Adams Center","NY",13606,-76.00793,"","New York",43.871728
"Adams Mills","OH",43821,-82.01636999999999,"","Ohio",40.130754
"Adams","IN",47240,-85.47579,"","Indiana",39.333248
"Adams","KY",41201,-82.73975,"","Kentucky",38.076051
"Adams","MA",1220,-73.11842,532,"Massachusetts",42.619727
"Adams","MN",55909,-92.72645,611,"Minnesota",43.564175
"Adams","NE",68301,-96.52637,"","Nebraska",40.472055
"Adams","ND",58210,-98.11172999999999,724,"North Dakota",48.391059
"Adams","OK",73901,-101.07462,"","Oklahoma",36.756145
"Adams","OR",97810,-118.46578,810,"Oregon",45.719133
"Adams","TN",37010,-87.10026000000001,"","Tennessee",36.569635
"Adams","WI",53910,-89.80722,705,"Wisconsin",43.908737
"Adamsburg","PA",15611,-79.65604,508,"Pennsylvania",40.3044
"Adamstown","PA",19501,-76.05765,566,"Pennsylvania",40.241588
"Adamsville","AL",35005,-86.95968999999999,630,"Alabama",33.592585
"Adamsville","OH",43802,-81.86556,"","Ohio",40.090643
"Adamsville","PA",16110,-80.37501,"","Pennsylvania",41.508647
"Adamsville","TN",38310,-88.38424999999999,640,"Tennessee",35.241412
"Addington","OK",73520,-97.93843,"","Oklahoma",34.243494
"Addis","LA",70710,-91.26121000000001,716,"Louisiana",30.350306
"Addison Township","MI",48367,-83.14416,"","Michigan",42.838438
