"host","brand","gender","color","bcl0","bcl1","bcl2","bcl3","bcl4","lcat1","lcat0","name","fname","lname0","lname1","lname2"
"www.amazon.in","needybee","kids","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Baby","Baby Girls 0-24m","starfish beanie ear cap","starfish","cap","ear","ear cap"
"www.amazon.in","needybee","kids","brown","Home","Fashion","Fashion accessories","Headwear","Caps","Baby","Baby Girls 0-24m","cap","cap","cap","cap","cap cap"
"www.amazon.in","needybee","kids","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Baby","Baby Girls 0-24m","crochet cap crochet flowers decorated","crochet","decorated","flowers","flowers decorated"
"www.amazon.in","needybee","kids","","Home","Fashion","Fashion accessories","Headwear","Caps","Baby","Baby Boys 0-24m","baby cow themed crochet knitting cap s babies","baby","babies","s","s babies"
"www.amazon.in","thwack","","white","Home","Fashion","Fashion accessories","Headwear","Caps","Badminton","Racquets","caps 1","caps","1","caps","caps 1"
"www.firstcry.com","tweety","kids","orange","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Tops & Tees","cap sleeves top pr","cap","pr","top","top pr"
"www.firstcry.com","nino bambino","kids","black","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","knotted cap stars design","knotted","design","stars","stars design"
"www.firstcry.com","babyhug","kids","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","baseball style cap baby love embroidery","baseball","embroidery","love","love embroidery"
"www.firstcry.com","babyhug","kids","red","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","baseball style cap baby love embroidery","baseball","embroidery","love","love embroidery"
"www.firstcry.com","babyhug","kids","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","cap applue","cap","applue","cap","cap applue"
"www.firstcry.com","nino bambino","","beige/sand/tan","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","mittens overlock","mittens","overlock","mittens","mittens overlock"
"www.firstcry.com","palm tree","","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Party Wear","cap sleeve top butterfly bow applues","cap","applues","bow","bow applues"
"www.firstcry.com","gron","","beige/sand/tan","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","striped cap","striped","cap","striped","striped cap"
"www.firstcry.com","awerganic","","yellow","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","organic knot hat","organic","hat","knot","knot hat"
"www.firstcry.com","awerganic","kids","green","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","organic cap knot","organic","knot","cap","cap knot"
"www.firstcry.com","sapphire","","red","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","cap knot mouse applue","cap","applue","mouse","mouse applue"
"www.firstcry.com","babyhug","","blue","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","baby cap navy pr","baby","pr","navy","navy pr"
"www.firstcry.com","babyhug","kids","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","bucket cap heart applue","bucket","applue","heart","heart applue"
"www.firstcry.com","babyhug","kids","violet","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","baseball style cap rabbit applue purple","baseball","purple","applue","applue purple"
"www.firstcry.com","babyhug","kids","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","bucket cap star embroidery","bucket","embroidery","star","star embroidery"
"www.firstcry.com","babyhug","kids","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","bucket cap heart applue","bucket","applue","heart","heart applue"
"www.firstcry.com","babyhug","","blue","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","baby cap pr","baby","pr","cap","cap pr"
"www.firstcry.com","jo kidswear","","green","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","cap booties mittens knee pads","cap","pads","knee","knee pads"
"www.firstcry.com","jo kidswear","","blue","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","cap booties mittens knee pads","cap","pads","knee","knee pads"
"www.firstcry.com","hot wheels","","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","cap","cap","cap","cap","cap cap"
"www.firstcry.com","babyhug","kids","yellow","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","bucket cap floral embroidery","bucket","embroidery","floral","floral embroidery"
"www.firstcry.com","babyhug","","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","en cap flower applue","en","applue","flower","flower applue"
"www.firstcry.com","babyhug","","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","en cap knot floral applue","en","applue","floral","floral applue"
"www.firstcry.com","babyhug","","beige/sand/tan","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Caps, Gloves & Mittens","monkey cap","monkey","cap","monkey","monkey cap"
"www.firstcry.com","palm tree","","multicolor","Home","Fashion","Fashion accessories","Headwear","Caps","Clothes & Fashion Accessories","Party Wear","cap sleeve top butterfly bow applues","cap","applues","bow","bow applues"
"www.bidorbuy.co.za","","","grey","Home","Fashion","Fashion accessories","Headwear","Caps","Clothing & Equipment","Headgear","us army acu digital camo boonie hat cap 1000d n quality","us","quality","n","n quality"
"www.amazon.in","","kids","beige/sand/tan","Home","Fashion","Fashion accessories","Headwear","Caps","Clothing & Accessories","Boys","romano wer cap","romano","cap","wer","wer cap"
