group,name,followers,twitter_url_link,img_src
"Center","Alex Len","12592 followers ","index.cfm?AthleteID=26128","http://pbs.twimg.com/profile_images/378800000153839765/6e86761e7ae68a29c041e6d22cdfcd49_normal.png"
"Shooting Guard","Allen Crabbe","9966 followers ","index.cfm?AthleteID=26038","http://pbs.twimg.com/profile_images/539589677662355456/3m8i6dpU_normal.jpeg"
"Forward","Andre Roberson","11687 followers ","index.cfm?AthleteID=27475","http://pbs.twimg.com/profile_images/555600187985362944/M9Tn90OR_normal.jpeg"
"Forward","Anthony Bennett","61918 followers ","index.cfm?AthleteID=26002","http://pbs.twimg.com/profile_images/553251593752432640/UkPVLLmP_normal.jpeg"
"Shooting Guard","Archie Goodwin","112467 followers ","index.cfm?AthleteID=26131","http://pbs.twimg.com/profile_images/554322188468494337/O8gFBMAV_normal.jpeg"
"Forward","Arsalan Kazemi","7076 followers ","index.cfm?AthleteID=26119","http://pbs.twimg.com/profile_images/504912098368180224/w5IWHmR2_normal.jpeg"
"Shooting Guard","Ben McLemore","91520 followers ","index.cfm?AthleteID=26032","http://pbs.twimg.com/profile_images/548329893453242368/beAHcYdM_normal.jpeg"
"Shooting Guard","Brandon Paul","24545 followers ","index.cfm?AthleteID=26035","http://pbs.twimg.com/profile_images/526497523071217665/KBffDZwo_normal.jpeg"
"Guard","CJ McCollum","39986 followers ","index.cfm?AthleteID=26008","http://pbs.twimg.com/profile_images/482158833557860352/gPQkrykF_normal.jpeg"
"Power Forward","Cody Zeller","90281 followers ","index.cfm?AthleteID=26005","http://pbs.twimg.com/profile_images/378800000232442702/118a2387e68c2e58784d29db25a2e2b7_normal.jpeg"
"Point Guard","Dennis Schröder","15811 followers ","index.cfm?AthleteID=26116","http://pbs.twimg.com/profile_images/556293741154402304/Z1TpC_vM_normal.jpeg"
"Forward","Elias Harris","11951 followers ","index.cfm?AthleteID=27433","http://pbs.twimg.com/profile_images/544994207023525888/SsVPPQE0_normal.jpeg"
"Point Guard","Erick Green","12730 followers ","index.cfm?AthleteID=26122","http://pbs.twimg.com/profile_images/553822017875877888/jYvpyu4x_normal.jpeg"
"Forward","Erik Murphy","14020 followers ","index.cfm?AthleteID=27466","http://pbs.twimg.com/profile_images/534292042390577152/s50slLwQ_normal.jpeg"
"Forward","Giannis Adetokunbo","11991 followers ","index.cfm?AthleteID=26101","http://pbs.twimg.com/profile_images/378800000648757276/439859d6bc877c55ee338c04a669f857_normal.jpeg"
"Forward","Gigi Datome","65799 followers ","index.cfm?AthleteID=27472","http://pbs.twimg.com/profile_images/3169379981/10bba62db491a55fa5d55dbff58ad8ef_normal.jpeg"
"Center","Gorgui Dieng","34533 followers ","index.cfm?AthleteID=26017","http://pbs.twimg.com/profile_images/378800000208482832/e486b15a24ea424f31b8e3855e361e94_normal.jpeg"
"Shooting Guard","Ian Clark","7890 followers ","index.cfm?AthleteID=27481","http://pbs.twimg.com/profile_images/504083659419578368/SEJQknrn_normal.jpeg"
"Point Guard","Isaiah Canaan ","30325 followers ","index.cfm?AthleteID=26104","http://pbs.twimg.com/profile_images/532320325141528576/K6sY-T7q_normal.jpeg"
"Forward","James Ennis","19104 followers ","index.cfm?AthleteID=26125","http://pbs.twimg.com/profile_images/499002160735330304/2UIvyNp9_normal.jpeg"
"Center","Jeff Withey","37829 followers ","index.cfm?AthleteID=27439","http://pbs.twimg.com/profile_images/549325127067107329/zvrNho02_normal.jpeg"
"Center","Kelly Olynyk","35097 followers ","index.cfm?AthleteID=26020","http://pbs.twimg.com/profile_images/3477415550/caff876dd855279927bdc137fb7c0247_normal.jpeg"
"Shooting Guard","Kentavious Caldwell-Pope","16279 followers ","index.cfm?AthleteID=26089","http://pbs.twimg.com/profile_images/525807135972917249/yM1cvr9n_normal.jpeg"
"Center","Lucas Nogueira","9966 followers ","index.cfm?AthleteID=26113","http://pbs.twimg.com/profile_images/496004794562002945/Cl-oM42Y_normal.jpeg"
"Forward","Mason Plumlee","57661 followers ","index.cfm?AthleteID=26023","http://pbs.twimg.com/profile_images/378800000262933541/0dc5af27ace642ecc561dba47c4c703b_normal.png"
"Point Guard","Michael Carter-Williams","112975 followers ","index.cfm?AthleteID=26011","http://pbs.twimg.com/profile_images/378800000063920247/63c35d15b269d9bfc5b82e1e06e67997_normal.jpeg"
"Center","Mike Muscala","5201 followers ","index.cfm?AthleteID=26029","http://pbs.twimg.com/profile_images/538088861574787072/0MRG0Wb3_normal.jpeg"
"Point Guard","Nate Wolters","16721 followers ","index.cfm?AthleteID=26098","http://pbs.twimg.com/profile_images/482052020551970816/YW2g8Xg4_normal.jpeg"
"Point Guard","Nemanja Nedovic","25549 followers ","index.cfm?AthleteID=27460","http://pbs.twimg.com/profile_images/485671912664621056/MNSLwaG0_normal.jpeg"
"Power Forward","Nerlens Noel","181604 followers ","index.cfm?AthleteID=25993","http://pbs.twimg.com/profile_images/533874832958439424/Tf9ng06n_normal.jpeg"
"Point Guard","Peyton Siva","78667 followers ","index.cfm?AthleteID=26107","http://pbs.twimg.com/profile_images/518775819398049792/umZD_CtE_normal.jpeg"
"Point Guard","Phil Pressey","30677 followers ","index.cfm?AthleteID=27469","http://pbs.twimg.com/profile_images/479399715168325632/AgD4AcOw_normal.jpeg"
"Point Guard","Ray McCallum","15360 followers ","index.cfm?AthleteID=26095","http://pbs.twimg.com/profile_images/518209562109673472/me08_xQa_normal.jpeg"
