Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed,Birthplace,HomeTown,HighSchool,College,Past Pro,Past Pro 2,Twitter_id,Twitter_username,Twitter_followers,Twitter_friends
358,Aaron Brooks,CHI,$1145685,,,,,,Minimum Salary,$1145685,,,,,,,,,,
519,Aaron Craft,GSW,$35000,,,,,,,$35000,,,,,,,,,,
181,Aaron Gordon,ORL,$3992040,$4171680,$4351320,$5504420,,,1st Round Pick,$8163720,,,,,,,,,,
348,Aaron Gray,DET,$1227985,$1356146,,,,,,$1227985,,,,,,,,,,
295,Adreian Payne,ATL,$1855320,$1938840,$2022240,$3100094,,,1st Round Pick,$3794160,,,,,,,,,,
488,Akil Mitchell,HOU,$150000,,,,,,,$150000,,,,,,,,,,
188,Al Harrington,ORL,$3805000,,,,,,,$3805000,,,,,,,,,,
48,Al Horford,ATL,$12000000,$12000000,,,,,Bird Rights,$24000000,,,,,,,,,,
33,Al Jefferson,CHO,$13666667,$13833333,,,,,Cap Space,$13666667,,,,,,,,,,
367,Al-Farouq Aminu,DAL,$1100602,,,,,,Minimum Salary,$981084,,,,,,,,,,
342,Alan Anderson,BRK,$1276061,$1333484,,,,,Non Bird rights,$1276061,,,,,,,,,,
224,Alec Burks,UTA,$3034356,$9213484,$9904495,$10595506,$11286515,,1st Round Pick,$44034356,,,,,,,,,,
506,Alex Kirk,NYK,$65000,,,,,,,$65000,,,,,,,,,,
195,Alex Len,PHO,$3649920,$3807120,$4823621,,,,1st Round Pick,$7457040,,,,,,,,,,
210,Alexey Shved,HOU,$3282056,,,,,,Cap Space,$3282056,,,,,,,,,,
380,Alexis Ajinca,NOP,$981084,,,,,,Minimum Salary,$981084,,,,,,,,,,
422,Allen Crabbe,POR,$862000,$947276,,,,,Cap Space,$862000,,,,,,,,,,
409,Alonzo Gee,DEN,$1063384,,,,,,Minimum Salary,,,,,,,,,,,
2,Amar'e Stoudemire,NYK,$23410988,,,,,,Bird Rights,$23410988,,,,,,,,,,
102,Amir Johnson,TOR,$7000000,,,,,,Bird Rights,$5000000,,,,,,,,,,
63,Anderson Varejao,CLE,$9704595,$9638554,$10361446,$10000000,,,Bird Rights,$34000000,,,,,,,,,,
78,Andray Blatche,WAS,$8471339,,,,,,,,,,,,,,,,,
523,Andre Dawkins,BOS,$29843,,,,,,Minimum Salary,$29843,,,,,,,,,,
250,Andre Drummond,DET,$2568360,$3272091,,,,,1st Round Pick,$2568360,,,,,,,,,,
41,Andre Iguodala,GSW,$12289544,$11710456,$11131368,,,,Bird Rights,$35131368,,,,,,,,,,
163,Andre Miller,WAS,$4625000,,,,,,Bird Rights,$2000000,,,,,,,,,,
354,Andre Roberson,OKC,$1160880,$1210800,$2183072,,,,1st Round Pick,$2371680,,,,,,,,,,
51,Andrea Bargnani,NYK,$11500000,,,,,,Bird Rights,$11500000,,,,,,,,,,
206,Andrei Kirilenko,PHI,$3326235,,,,,,Mini MLE,$3326235,,,,,,,,,,
36,Andrew Bogut,GSW,$12972973,$12000000,$11027027,,,,Bird Rights,$36000000,,,,,,,,,,
311,Andrew Nicholson,ORL,$1545840,$2380594,,,,,1st Round Pick,$3926434,,,,,,,,,,
133,Andrew Wiggins,MIN,$5510640,$5758680,$6006600,$7574322,,,1st Round Pick,$11269320,,,,,,,,,,
132,Anthony Bennett,MIN,$5563920,$5803560,$7318289,,,,1st Round Pick,$11367480,,,,,,,,,,
131,Anthony Davis,NOP,$5607240,$7070730,,,,,1st Round Pick,$5607240,,,,,,,,,,
217,Anthony Morrow,OKC,$3200000,$3344000,$3488000,,,,Cap Space,$6544000,,,,,,,,,,
297,Anthony Randolph,ORL,$1825359,,,,,,,$1825359,,,,,,,,,,
231,Anthony Tolliver,DET,$3000000,$3000000,,,,,Cap Space,$3400000,,,,,,,,,,
364,Archie Goodwin,PHO,$1112280,$1160160,$2094089,,,,,$2272420,,,,,,,,,,
359,Arnett Moultrie,NYK,$1136160,,,,,,,$1136160,,,,,,,,,,
273,Aron Baynes,SAS,$2077000,,,,,,MLE,$2077000,,,,,,,,,,
91,Arron Afflalo,DEN,$7750000,$7937500,,,,,Bird Rights,$7312500,,,,,,,,,,
372,Austin Daye,SAS,$1063384,,,,,,,$1063384,,,,,,,,,,
255,Austin Rivers,LAC,$2439840,$3110796,,,,,1st Round Pick,$2439840,,,,,,,,,,
98,Avery Bradley,BOS,$7191011,$7730337,$8269663,$8808989,,,Bird Rights,$32000000,,,,,,,,,,
165,Ben Gordon,ORL,$4500000,$4500000,,,,,Cap Space,$4500000,,,,,,,,,,
225,Ben McLemore,SAC,$3026280,$3156600,$4008882,,,,1st Round Pick,$6182880,,,,,,,,,,
277,Beno Udrih,MEM,$2077000,$2170465,,,,,BAE,$2077000,,,,,,,,,,
