,city,state,zip,longitude,latitude,dma region,state abr,criteria id,"""blockFips""","""incomeBelowPoverty""",medianIncome,incomeLessThan25,"incomeBetween25to50""",incomeBetween50to100,incomeBetween100to200,incomeGreater200,educationHighSchoolGraduate,educationBachelorOrGreater
0,Moody,Alabama,35004,-86.50249,33.606379,Birmingham,AL,9052472.0,011150401032104,0.13,52983.0,0.1376,0.2946,0.4215,0.1193,0.0285,0.7759,0.1056
1,Adamsville,Alabama,35005,-86.95969,33.592585,Birmingham,AL,1012928.0,010730124032023,0.186,60327.0,0.2207,0.3062,0.5229,0.0616,0.0139,0.8617,0.1714
2,Adger,Alabama,35006,-87.23957,33.451714,Birmingham,AL,1012930.0,010730141023082,0.186,44854.0,0.12,0.5294,0.2871,0.0988,0.0,0.608,0.0787
3,Alabaster,Alabama,35007,-86.80871,33.232422,Birmingham,AL,1012931.0,011170303191035,0.098,33809.0,0.3267,0.4444,0.3118,0.1028,0.0,0.7297,0.0958
4,Alexander City,Alabama,35010,-85.92669,32.903432,Montgomery (Selma),AL,1012933.0,011239623003030,0.183,40681.0,0.2448,0.4154,0.3086,0.0807,0.0,0.7375,0.1745
5,Alpine,Alabama,35014,-86.2772,33.35596,Birmingham,AL,1012936.0,011210112001175,0.227,32230.0,0.3533,0.3902,0.2865,0.0633,0.0,0.5524,0.1015
6,Arab,Alabama,35016,-86.49278,34.323715,Huntsville-Decatur (Florence),AL,1012939.0,010950305005031,0.194,41445.0,0.3558,0.3262,0.2735,0.1269,0.0461,0.8536,0.2404
7,Bessemer,Alabama,35020,-86.95141,33.405559,Birmingham,AL,1012953.0,010730103022022,0.186,17713.0,0.8147,0.3684,0.0429,0.0,0.0,0.6079,0.0509
8,Bessemer,Alabama,35022,-86.95252,33.346817,Birmingham,AL,1012953.0,010730143013048,0.186,38769.0,0.3758,0.4072,0.2036,0.1253,0.0,0.7069,0.0673
9,Bessemer,Alabama,35023,-87.0193,33.443039,Birmingham,AL,1012953.0,010730100013015,0.186,58499.0,0.1561,0.379,0.4172,0.1178,0.0,0.7982,0.0929
