name,city,state,state_url,dob,player_url
"Michael Ansley","Birmingham","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Feb 8, 1967","http://www.basketball-reference.com/players/a/anslemi01.html"
"Keith Askins","Athens","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Dec 15, 1967","http://www.basketball-reference.com/players/a/askinke01.html"
"Carl Bailey","Birmingham","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Apr 23, 1958","http://www.basketball-reference.com/players/b/baileca01.html"
"Charles Barkley","Leeds","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Feb 20, 1963","http://www.basketball-reference.com/players/b/barklch01.html"
"Eric Bledsoe","Birmingham","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Dec 9, 1989","http://www.basketball-reference.com/players/b/bledser01.html"
"Tom Boswell","Montgomery","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Oct 2, 1953","http://www.basketball-reference.com/players/b/bosweto01.html"
"David Bustion","Gadsden","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Aug 30, 1949","http://www.basketball-reference.com/players/b/bustida01.html"
"Jason Caffey","Mobile","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Jun 12, 1973","http://www.basketball-reference.com/players/c/caffeja01.html"
"DeMarre Carroll","Birmingham","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Jul 27, 1986","http://www.basketball-reference.com/players/c/carrode01.html"
"Bobby Cattage","Huntsville","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Aug 17, 1958","http://www.basketball-reference.com/players/c/cattabo01.html"
"Derrick Coleman","Mobile","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Jun 21, 1967","http://www.basketball-reference.com/players/c/colemde01.html"
"DeMarcus Cousins","Mobile","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Aug 13, 1990","http://www.basketball-reference.com/players/c/couside01.html"
"Michael Curry","Anniston","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Aug 22, 1968","http://www.basketball-reference.com/players/c/currymi01.html"
"Fennis Dembo","Mobile","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Jan 24, 1966","http://www.basketball-reference.com/players/d/dembofe01.html"
"John Douglas","Town Creek","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Jun 12, 1956","http://www.basketball-reference.com/players/d/dougljo01.html"
"Leon Douglas","Leighton","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Aug 26, 1954","http://www.basketball-reference.com/players/d/douglle01.html"
"John Drew","Vredenburgh","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Sep 30, 1954","http://www.basketball-reference.com/players/d/drewjo01.html"
"T.R. Dunn","Birmingham","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Feb 1, 1955","http://www.basketball-reference.com/players/d/dunntr01.html"
"Jim Farmer","Dothan","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Sep 23, 1964","http://www.basketball-reference.com/players/f/farmeji01.html"
"Rod Foster","Birmingham","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Oct 10, 1960","http://www.basketball-reference.com/players/f/fostero01.html"
"Mickell Gladness","Birmingham","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","Jul 26, 1986","http://www.basketball-reference.com/players/g/gladnmi01.html"
"Orlando Graham","Montgomery","Alabama","http://www.basketball-reference.com/friv/birthplaces.cgi?country=US&state=AL","May 5, 1965","http://www.basketball-reference.com/players/g/grahaor01.html"
