name,city,state,state_url,school_name,player_url
"Michael Ansley","Birmingham","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Jackson-Olin","http://www.basketball-reference.com/players/a/anslemi01.html"
"Keith Askins","Athens","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Athens","http://www.basketball-reference.com/players/a/askinke01.html"
"Carl Bailey","Birmingham","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Jackson-Olin","http://www.basketball-reference.com/players/b/baileca01.html"
"Charles Barkley","Leeds","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Leeds","http://www.basketball-reference.com/players/b/barklch01.html"
"Eric Bledsoe","Birmingham","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","A.H. Parker","http://www.basketball-reference.com/players/b/bledser01.html"
"Tom Boswell","Montgomery","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Carver","http://www.basketball-reference.com/players/b/bosweto01.html"
"Jason Caffey","Mobile","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Davidson","http://www.basketball-reference.com/players/c/caffeja01.html"
"DeMarre Carroll","Birmingham","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","John Carroll","http://www.basketball-reference.com/players/c/carrode01.html"
"Bobby Cattage","Huntsville","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","J.O. Johnson","http://www.basketball-reference.com/players/c/cattabo01.html"
"Pete Chilcutt","Tuscaloosa","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Tuscaloosa Academy","http://www.basketball-reference.com/players/c/chilcpe01.html"
"DeMarcus Cousins","Mobile","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","LeFlore Magnet","http://www.basketball-reference.com/players/c/couside01.html"
"John Douglas","Leighton","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Colbert County","http://www.basketball-reference.com/players/d/dougljo01.html"
"Leon Douglas","Leighton","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Colbert County","http://www.basketball-reference.com/players/d/douglle01.html"
"John Drew","Beatrice","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","J.F. Shields","http://www.basketball-reference.com/players/d/drewjo01.html"
"T.R. Dunn","Birmingham","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","West End","http://www.basketball-reference.com/players/d/dunntr01.html"
"Jim Farmer","Dothan","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Houston Academy","http://www.basketball-reference.com/players/f/farmeji01.html"
"Artis Gilmore","Dothan","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Carver","http://www.basketball-reference.com/players/g/gilmoar01.html"
"Mickell Gladness","Sylacauga","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Sylacauga","http://www.basketball-reference.com/players/g/gladnmi01.html"
"Orlando Graham","Montgomery","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Sidney Lanier","http://www.basketball-reference.com/players/g/grahaor01.html"
"Travis Grant","Clayton","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Barbour County Training School","http://www.basketball-reference.com/players/g/granttr01.html"
"JaMychal Green","Montgomery","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","St. Jude","http://www.basketball-reference.com/players/g/greenja01.html"
"Lamar Green","Birmingham","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Carver","http://www.basketball-reference.com/players/g/greenla01.html"
"Johnny High","Birmingham","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Jones Valley","http://www.basketball-reference.com/players/h/highjo01.html"
"Cedrick Hordges","Montgomery","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Robert E. Lee","http://www.basketball-reference.com/players/h/hordgce01.html"
"Robert Horry","Andalusia","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Andalusia","http://www.basketball-reference.com/players/h/horryro01.html"
"Elvin Ivory","Birmingham","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Hayes","http://www.basketball-reference.com/players/i/ivoryel01.html"
"Stanley Jackson","Valley","Alabama","http://www.basketball-reference.com/friv/high_schools.cgi?state=AL","Valley","http://www.basketball-reference.com/players/j/jacksst01.html"
