_id,count
"Aaron Craft",14.0
"Aaron Gordon",42.0
"Adreian Payne",57.0
"Al Jefferson",400.0
"Alex Kirk",3.0
"Alexey Shved",446.0
"Alexis Ajinca",8.0
"Anderson Varejao",63.0
"Andre Dawkins",22.0
"Andre Miller",1871.0
"Andrei Kirilenko",1602.0
"Andrew Wiggins",53785.0
"Bojan Bogdanovic",122.0
"Bruno Caboclo",279.0
"C.J. McCollum",8.0
"C.J. Miles",119.0
"C.J. Watson",8.0
"C.J. Wilcox",5.0
"Chris Johnson",103.0
"Cory Jefferson",7.0
"D.J. Augustin",619.0
"Damjan Rudez",19.0
"Dennis Schroder",2375.0
"Devyn Marble",48.0
"Dwight Powell",9.0
"Elfrid Payton",234.0
"Eric Griffin",45.0
"Ersan Ilyasova",132.0
"Francisco Garcia",5.0
"Glen Davis",1627.0
"Greg Smith",11.0
"Hedo Turkoglu",43.0
"Ivan Johnson",126.0
"J.J. Hickson",3.0
"J.J. Redick",149.0
"J.R. Smith",1208.0
"JaKarr Sampson",75.0
"James Johnson",272.0
"James Jones",35.0
"James Young",62.0
"Joe Harris",36.0
"John Henson",196.0
"Johnny O'Bryant",5.0
"Jonas Valanciunas",40.0
"Jordan Clarkson",220.0
"Jorge Gutierrez",99.0
"Jose Barea",1.0
"Jose Calderon",423.0
"Josh Davis",10.0
"Justin Hamilton",221.0
"Jusuf Nurkic",96.0
"K.J. McDaniels",1470.0
"Kevin Martin",728.0
"Kevin Murphy",1.0
"Khem Birch",11.0
"Kyle Anderson",264.0
"Langston Galloway",88.0
"Louis Amundson",7.0
"Malcolm Thomas",47.0
"Markel Brown",44.0
"Mike Dunleavy",130.0
"Mike Miller",155.0
"Nene Hilario",10.0
"Nick Johnson",13.0
"Nikola Mirotic",160.0
"Nikola Pekovic",11.0
"Nikola Vucevic",179.0
"O.J. Mayo",60.0
"Ognjen Kuzmic",3.0
"Orlando Sanchez",11.0
"P.J. Hairston",1.0
"P.J. Tucker",80.0
"Pero Antic",8.0
"Perry Jones",142.0
"Russ Smith",52.0
"Shayne Whittington",1.0
"T.J. Warren",6.0
"Tarik Black",45.0
"Tyler Ennis",3951.0
"Tyler Johnson",45.0
"Vitor Faverani",4.0
"Wesley Johnson",115.0
"Will Cherry",2.0
"Zoran Dragic",1717.0
