Ticker,Short Name,Market Cap,P/E,Total Return YTD,Revenue T12M,PX_TO_BOOK_RATIO
AAPL US Equity,APPLE INC,631936516096,16.753666,-2.382676,182795001856,5.6664800286
XOM US Equity,EXXON MOBIL CORP,384156434432,11.411322,-1.871277,387033006080,2.1275020083
MSFT US Equity,MICROSOFT CORP,381067100160,17.144789,-0.47363,91504998400,4.2323239018
BRK/A US Equity,BERKSHIRE HATH-A,367011233792,23.069437,-1.115044,193463001088,1.5461225352
GOOGL US Equity,GOOGLE INC-A,341192310784,25.495132,-4.807218,64756000768,3.467404973
950130 KS Equity,ACCESS BIO-KDR,325367988224,36.688427,6.19469,45830168576,6.3597696001
JNJ US Equity,JOHNSON&JOHNSON,295474102272,17.663576,0.946732,74432000000,3.8646335015
WMT US Equity,WAL-MART STORES,285574627328,17.770832,3.167212,483791994880,3.6141550908
WFC US Equity,WELLS FARGO & CO,271831515136,12.843138,-4.414444,87624001536,1.6754328757
PG US Equity,PROCTER & GAMBLE,243379830784,20.962955,-1.119768,83787999232,3.7470145098
GE US Equity,GENERAL ELECTRIC,241815977984,17.48111,-4.709143,145243002880,1.7912560378
JPM US Equity,JPMORGAN CHASE,220814802944,9.400979,-5.004624,103212001280,1.0454553585
FB US Equity,FACEBOOK INC-A,212957577216,72.523811,-2.396815,11200000256,9.3511255287
CVX US Equity,CHEVRON CORP,204052414464,9.917435,-3.779638,204022996992,1.3068554677
PFE US Equity,PFIZER INC,200675934208,17.13332,2.247194,50044999680,2.5741544858
VZ US Equity,VERIZON COMMUNIC,191675744256,13.999642,-0.085507,124952002560,11.5627515402
ORCL US Equity,ORACLE CORP,189487480832,17.712337,-3.782991,38821000192,3.991622462
KO US Equity,COCA-COLA CO/THE,188301049856,21.800381,1.823781,46165999616,5.6262902672
BAC US Equity,BANK OF AMERICA,178148671488,10.569928,-5.310223,98352998400,0.8069070171
MRK US Equity,MERCK & CO,175642312704,17.841091,8.487409,43073999872,3.8974113734
INTC US Equity,INTEL CORP,174156693504,17.219965,-0.744008,54983001088,3.0699294978
T US Equity,AT&T INC,172052791296,10.928068,0.148848,131171000320,1.8570459468
V US Equity,VISA INC-CLASS A,161404633088,36.040802,-0.476735,12702000128,7.2536354759
DIS US Equity,WALT DISNEY CO,157412835328,21.514349,-1.443891,48813000704,3.5101873551
C US Equity,CITIGROUP INC,155018919936,9.478329,-5.433381,91118002176,0.7624980683
IBM US Equity,IBM,153446858752,9.220646,-3.359511,96943998976,10.763668564
GILD US Equity,GILEAD SCIENCES,150081929216,17.5874,5.537875,20695557120,11.0766964849
PEP US Equity,PEPSICO INC,143285059584,21.102728,1.247885,66853000192,6.2482508376
CMCSA US Equity,COMCAST CORP-A,141970538496,19.478514,-4.496008,67969000448,2.6672687374
CSCO US Equity,CISCO SYSTEMS,139600953344,16.485338,-1.176108,47302000640,2.4595417948
AMZN US Equity,AMAZON.COM INC,138170384384,,-3.844045,85246998528,13.367692165
HD US Equity,HOME DEPOT INC,137594355712,24.22176,-0.533483,81710000128,13.6115118523
QCOM US Equity,QUALCOMM INC,122583564288,15.975009,-0.807209,26487000064,3.1416522148
AMGN US Equity,AMGEN INC,120368422912,23.456699,-0.659167,19743000064,4.755010629
RY CN Equity,ROYAL BANK OF CA,112999415808,12.844262,-2.355433,38302001152,2.3229266099
CVS US Equity,CVS HEALTH CORP,109972570112,23.012617,-0.394556,135142000640,2.9027737338
ABBV US Equity,ABBVIE INC,106649739264,22.055502,2.276891,19618999808,22.9574278658
SLB US Equity,SCHLUMBERGER LTD,105143926784,15.027535,-4.332051,47844999168,2.5962416695
UTX US Equity,UNITED TECH CORP,102771245056,17.361866,-1.97391,64862999552,3.0183337554
MMM US Equity,3M CO,102402850816,21.858633,-2.750733,31671000064,6.3317166207
UPS US Equity,UNITED PARCEL-B,100434731008,22.752743,-2.437707,57313000448,17.5016312722
UNP US Equity,UNION PAC CORP,100334854144,20.87324,-5.271551,23465000448,4.664604312
MO US Equity,ALTRIA GROUP INC,98586329088,19.970589,1.238077,17735999488,22.9653967499
BMY US Equity,BRISTOL-MYER SQB,98265915392,34.574612,0.355756,16061999872,6.4587758549
TD CN Equity,TORONTO-DOM BANK,97651081216,12.459364,-3.9089,33471999488,1.8605525108
MA US Equity,MASTERCARD INC-A,97403379712,28.05682,-2.065927,9182999936,14.9564808019
UNH US Equity,UNITEDHEALTH GRP,95911927808,18.474648,-1.147488,128157999104,2.948492832
AXP US Equity,AMERICAN EXPRESS,93431291904,17.501259,-2.665518,35496999936,4.6230957241
BA US Equity,BOEING CO/THE,92331622400,17.670834,-0.361595,90079000576,6.3710009748
CELG US Equity,CELGENE CORP,91491565568,52.615334,2.404794,7340800128,15.8905263924
MCD US Equity,MCDONALDS CORP,91490869248,18.531183,0.330849,27962299904,6.7144580599
KMI US Equity,KINDER MORGAN IN,87917060096,33.828064,-2.221703,16147000064,3.3908213119
GS US Equity,GOLDMAN SACHS GP,84312162304,9.856692,-3.379251,41596000256,1.1167196864
BIIB US Equity,BIOGEN IDEC INC,83419537408,34.159374,4.062448,9028499072,7.9998049102
NKE US Equity,NIKE INC -CL B,81961844736,27.935297,-1.331252,29759000064,7.0057848182
COP US Equity,CONOCOPHILLIPS,77978329088,10.219254,-8.268171,54569999360,1.410759644
USB US Equity,US BANCORP,77927776256,14.278688,-3.114575,21143999488,2.0363530449
BNS CN Equity,BANK OF NOVA SCO,77465362432,11.85661,-3.014373,30916000256,1.7232600416
HON US Equity,HONEYWELL INTL,77341663232,17.711039,-1.120892,40426999808,4.0841560173
LLY US Equity,ELI LILLY & CO,77082746880,28.784716,0.347884,20303099904,4.3625242635
AIG US Equity,AMERICAN INTERNA,76267225088,9.624858,-2.731653,66217000960,0.7043363915
FOXA US Equity,TWENTY-FIRST C-A,75061485568,21.623749,-8.045828,32692999680,4.7199864297
HPQ US Equity,HEWLETT-PACKARD,72868077568,12.489995,-0.996764,111453999104,2.7332860409
WBA US Equity,WALGREENS BOOTS,72436203520,33.106644,0.524936,77617002496,3.5101860139
MS US Equity,MORGAN STANLEY,72306475008,15.422949,-4.793816,37936000000,1.0813893255
MDT US Equity,MEDTRONIC INC,71855104000,18.282661,1.108037,17368000256,3.6966307273
ACT US Equity,ACTAVIS PLC,70302162944,51.877563,3.037958,11784699904,2.411066077
TWX US Equity,TIME WARNER INC,69736898560,18.054867,-2.634044,29140999680,2.7756297447
EBAY US Equity,EBAY INC,68237021184,,-2.129365,17511000064,3.4435562369
ABT US Equity,ABBOTT LABS,67399188480,29.541668,-0.577526,21554000384,2.9447389069
LOW US Equity,LOWE'S COS INC,66352369664,26.591803,-0.872102,55343000576,6.1907546158
EPD US Equity,ENTERPRISE PRODU,65829617664,22.801609,-5.81395,50862199808,4.0593491195
DD US Equity,DU PONT (EI),65509027840,18.108433,-2.204497,35092000256,4.1757064407
AGN US Equity,ALLERGAN INC,63783075840,40.058853,0.714993,7011799936,8.9614275707
COST US Equity,COSTCO WHOLESALE,63573594112,29.94191,1.813056,114488999936,5.1438481193
CNR CN Equity,CAN NATL RAILWAY,62826348544,22.268929,-3.03106,11672000000,4.5882063365
MDLZ US Equity,MONDELEZ INTER-A,62358745088,23.71744,2.18857,34902000128,2.0215457836
CL US Equity,COLGATE-PALMOLIV,62294073344,24.755756,-1.214054,17416999936,43.8690659469
ESRX US Equity,EXPRESS SCRIPTS,62059429888,25.432404,-0.129917,100355897344,3.0786539242
SPG US Equity,SIMON PROPERTY,61230022656,39.832302,6.968317,5147926912,12.1530994959
SBUX US Equity,STARBUCKS CORP,60746993664,30.30587,-1.060332,16447900160,11.5410489812
LMT US Equity,LOCKHEED MARTIN,60288000000,17.719389,-0.90357,44603000832,13.1805858383
DUK US Equity,DUKE ENERGY CORP,59744837632,18.722874,1.11324,25080000000,1.4421011027
OXY US Equity,OCCIDENTAL PETE,59715719168,11.183289,-4.465945,24531000320,1.3734381837
DHR US Equity,DANAHER CORP,59588247552,23.41572,-1.061715,19763299840,2.5117777549
EMC US Equity,EMC CORP/MA,58503618560,21.568556,-3.328849,24072999936,2.5808924081
BLK US Equity,BLACKROCK INC,58461724672,18.688192,-2.298915,11073999872,2.1326311324
MET US Equity,METLIFE INC,58165350400,9.072165,-5.342946,72654997504,0.8339606054
F US Equity,FORD MOTOR CO,57884258304,8.934926,-2.967742,145243000832,2.214732882
GM US Equity,GENERAL MOTORS C,57583996928,15.136847,2.663994,156796997632,1.4374451719
VRX CN Equity,VALEANT PHARMACE,57254330368,45.974426,3.192447,8047257088,9.4643241698
MON US Equity,MONSANTO CO,56738234368,23.742115,-1.481545,15582000128,7.6569817545
PCLN US Equity,PRICELINE GROUP,55998431232,24.007956,-6.195352,8143026944,6.4115275373
TXN US Equity,TEXAS INSTRUMENT,55677571072,21.5131,-1.412141,12804000000,5.3173115499
CAT US Equity,CATERPILLAR INC,53160075264,13.605928,-4.064243,55341999104,2.8242083434
BMO CN Equity,BANK OF MONTREAL,51694342144,12.392523,-3.188127,21297999872,1.6512141564
TMO US Equity,THERMO FISHER,51575283712,36.514935,2.905253,15863699968,2.514567178
EFA US Equity,ISHARES MSCI EAF,51372142592,,-2.810649,,#N/A Field Not Applicable
DOW US Equity,DOW CHEMICAL CO,51149533184,14.318868,-4.845427,58168999936,2.3537588582
SU CN Equity,SUNCOR ENERGY,51088670720,12.012257,-4.390251,41156999168,1.2243074707
VTI US Equity,VANGUARD TL SK E,50294218752,,-1.594342,,#N/A Field Not Applicable
MCK US Equity,MCKESSON CORP,49796608000,30.214426,3.454089,161263003648,5.5785466353
TGT US Equity,TARGET CORP,48899756032,26.812656,1.132911,73703998464,2.9744837722
FDX US Equity,FEDEX CORP,48457789440,21.568726,-1.508701,46762999808,3.1132956858
TJX US Equity,TJX COS INC,47286337536,22.440392,-0.495777,28583241216,10.7481987774
ENB CN Equity,ENBRIDGE INC,47129993216,65.755966,-7.063946,37137000448,4.3974699495
NEE US Equity,NEXTERA ENERGY,46677417984,26.904655,0.611536,15987000064,2.4787794293
YHOO US Equity,YAHOO! INC,46031810560,36.623798,-3.801224,4630855936,1.2959855238
EOG US Equity,EOG RESOURCES,45857427456,16.063496,-9.112631,16825515008,2.5873883665
BCE CN Equity,BCE INC,45704769536,17.188538,2.102107,20895999488,4.229164408
PNC US Equity,PNC FINANCIAL SE,45648695296,12.211219,-4.910669,16380000000,1.1299585554
VWO US Equity,VANGUARD FTSE EM,45419864064,,-0.974511,,#N/A Field Not Applicable
